94;2023-06-30 17:10:53.000093;2023-06-30 17:10:53.000093;21;10;;Albania;D;Hysaj;Lazio
95;2023-06-30 17:10:53.000094;2023-06-30 17:10:53.000094;29;10;;Italy;D;Biraghi;Fiorentina
96;2023-06-30 17:10:53.000095;2023-06-30 17:10:53.000095;19;10;;Italy;D;Luperto;Empoli
97;2023-06-30 17:10:53.000096;2023-06-30 17:10:53.000096;30;10;;Italy;D;Toloi;Atalanta
98;2023-06-30 17:10:53.000097;2023-06-30 17:10:53.000097;36;10;;Italy;D;Bastoni;Inter
99;2023-06-30 17:10:53.000098;2023-06-30 17:10:53.000098;20;10;;Italy;D;Depaoli;Verona
100;2023-06-30 17:10:53.000099;2023-06-30 17:10:53.000099;35;10;;Italy;D;Darmian;Inter
101;2023-06-30 17:10:53.000100;2023-06-30 17:10:53.000100;36;10;;Italy;D;Augello;Sampdoria
102;2023-06-30 17:10:53.000101;2023-06-30 17:10:53.000101;38;10;;Italy;D;Bastoni S.;Spezia
103;2023-06-30 17:10:53.000102;2023-06-30 17:10:53.000102;19;10;;Denmark;D;Maehle;Atalanta
104;2023-06-30 17:10:53.000103;2023-06-30 17:10:53.000103;26;10;;Italy;D;Casale;Lazio
105;2023-06-30 17:10:53.000104;2023-06-30 17:10:53.000104;25;10;;Netherlands;D;Dumfries;Inter
106;2023-06-30 17:10:53.000105;2023-06-30 17:10:53.000105;19;10;;Italy;D;Scalvini;Atalanta
107;2023-06-30 17:10:53.000106;2023-06-30 17:10:53.000106;24;10;;Argentina;D;Perez N.;Udinese
108;2023-06-30 17:10:53.000107;2023-06-30 17:10:53.000107;25;10;;Slovenia;D;Bijol;Udinese
109;2023-06-30 17:10:53.000108;2023-06-30 17:10:53.000108;30;9;;Italy;D;Mario Rui;Napoli
110;2023-06-30 17:10:53.000109;2023-06-30 17:10:53.000109;18;9;;Italy;D;Acerbi;Inter
111;2023-06-30 17:10:53.000110;2023-06-30 17:10:53.000110;28;9;;Italy;D;Faraoni;Verona
112;2023-06-30 17:10:53.000111;2023-06-30 17:10:53.000111;33;9;;Serbia;D;Milenkovic;Fiorentina
113;2023-06-30 17:10:53.000112;2023-06-30 17:10:53.000112;19;9;;Switzerland;D;Rodriguez R.;Torino
114;2023-06-30 17:10:53.000113;2023-06-30 17:10:53.000113;27;9;;Poland;D;Reca;Spezia
115;2023-06-30 17:10:53.000114;2023-06-30 17:10:53.000114;36;9;;Greece;D;Kyriakopoulos;Bologna
116;2023-06-30 17:10:53.000115;2023-06-30 17:10:53.000115;30;9;;Ivory Coast;D;Singo;Torino
117;2023-06-30 17:10:53.000116;2023-06-30 17:10:53.000116;25;9;;Spain;D;Mari';Monza
118;2023-06-30 17:10:53.000117;2023-06-30 17:10:53.000117;28;9;;Italy;D;Cambiaso;Bologna
119;2023-06-30 17:10:53.000118;2023-06-30 17:10:53.000118;36;9;;Brazil;D;Dodo';Fiorentina
120;2023-06-30 17:10:53.000119;2023-06-30 17:10:53.000119;20;8;;Italy;D;Masina;Udinese
121;2023-06-30 17:10:53.000120;2023-06-30 17:10:53.000120;21;8;;Italy;D;Izzo;Monza
122;2023-06-30 17:10:53.000121;2023-06-30 17:10:53.000121;30;8;;Italy;D;Calabria;Milan
123;2023-06-30 17:10:53.000122;2023-06-30 17:10:53.000122;34;8;;Slovakia;D;Skriniar;Inter
124;2023-06-30 17:10:53.000123;2023-06-30 17:10:53.000123;27;8;;Italy;D;Sernicola;Cremonese
125;2023-06-30 17:10:53.000124;2023-06-30 17:10:53.000124;29;8;;Serbia;D;Terzic;Fiorentina
126;2023-06-30 17:10:53.000125;2023-06-30 17:10:53.000125;32;8;;Brazil;D;Rodrigo Becao;Udinese
127;2023-06-30 17:10:53.000126;2023-06-30 17:10:53.000126;32;8;;Italy;D;Pirola;Salernitana
128;2023-06-30 17:10:53.000127;2023-06-30 17:10:53.000127;25;8;;Italy;D;Caldirola;Monza
129;2023-06-30 17:10:53.000128;2023-06-30 17:10:53.000128;21;7;;Brazil;D;Juan Jesus;Napoli
130;2023-06-30 17:10:53.000129;2023-06-30 17:10:53.000129;34;7;;Italy;D;Bonucci;Juventus
131;2023-06-30 17:10:53.000130;2023-06-30 17:10:53.000130;35;7;;Netherlands;D;De Vrij;Inter
132;2023-06-30 17:10:53.000131;2023-06-30 17:10:53.000131;31;7;;Albania;D;Djimsiti;Atalanta
133;2023-06-30 17:10:53.000132;2023-06-30 17:10:53.000132;37;7;;Montenegro;D;Marusic;Lazio
134;2023-06-30 17:10:53.000133;2023-06-30 17:10:53.000133;37;7;;Ivory Coast;D;Djidji;Torino
135;2023-06-30 17:10:53.000134;2023-06-30 17:10:53.000134;33;7;;Brazil;D;Ibanez;Roma
136;2023-06-30 17:10:53.000135;2023-06-30 17:10:53.000135;38;7;;France;D;Kalulu;Milan
137;2023-06-30 17:10:53.000136;2023-06-30 17:10:53.000136;22;7;;Kosovo;D;Vojvoda;Torino
138;2023-06-30 17:10:53.000137;2023-06-30 17:10:53.000137;36;7;;Spain;D;Llorente D.;Roma
139;2023-06-30 17:10:53.000138;2023-06-30 17:10:53.000138;19;7;;Argentina;D;Martinez Quarta;Fiorentina
140;2023-06-30 17:10:53.000139;2023-06-30 17:10:53.000139;27;7;;France;D;Gendrey;Lecce
141;2023-06-30 17:10:53.000140;2023-06-30 17:10:53.000140;35;7;;Sweden;D;Hien;Verona
142;2023-06-30 17:10:53.000141;2023-06-30 17:10:53.000141;18;6;;Spain;D;Patric;Lazio
143;2023-06-30 17:10:53.000142;2023-06-30 17:10:53.000142;29;6;;Slovakia;D;Gyomber;Salernitana
144;2023-06-30 17:10:53.000143;2023-06-30 17:10:53.000143;31;6;;Brazil;D;Rogerio;Sassuolo
145;2023-06-30 17:10:53.000144;2023-06-30 17:10:53.000144;27;6;;France;D;Umtiti;Lecce
146;2023-06-30 17:10:53.000145;2023-06-30 17:10:53.000145;29;6;;Nigeria;D;Troost-Ekong;Salernitana
147;2023-06-30 17:10:53.000146;2023-06-30 17:10:53.000146;21;6;;Greece;D;Nikolaou;Spezia
148;2023-06-30 17:10:53.000147;2023-06-30 17:10:53.000147;22;6;;Turkey;D;Demiral;Atalanta
149;2023-06-30 17:10:53.000148;2023-06-30 17:10:53.000148;35;6;;Switzerland;D;Lazaro;Torino
150;2023-06-30 17:10:53.000149;2023-06-30 17:10:53.000149;31;6;;Italy;D;Zortea;Sassuolo
151;2023-06-30 17:10:53.000150;2023-06-30 17:10:53.000150;19;6;;Wales;D;Ampadu;Spezia
152;2023-06-30 17:10:53.000151;2023-06-30 17:10:53.000151;36;6;;Mexico;D;Vasquez;Cremonese
153;2023-06-30 17:10:53.000152;2023-06-30 17:10:53.000152;36;6;;Croatia;D;Bradaric;Salernitana
154;2023-06-30 17:10:53.000153;2023-06-30 17:10:53.000153;27;6;;Georgia;D;Lochoshvili;Cremonese
155;2023-06-30 17:10:53.000154;2023-06-30 17:10:53.000154;36;6;;Nigeria;D;Ehizibue;Udinese
156;2023-06-30 17:10:53.000155;2023-06-30 17:10:53.000155;34;6;;Germany;D;Thiaw;Milan
157;2023-06-30 17:10:53.000156;2023-06-30 17:10:53.000156;34;5;;Italy;D;D'ambrosio;Inter
158;2023-06-30 17:10:53.000157;2023-06-30 17:10:53.000157;24;5;;Chile;D;Medel;Bologna
159;2023-06-30 17:10:53.000158;2023-06-30 17:10:53.000158;24;5;;Italy;D;De Silvestri;Bologna
160;2023-06-30 17:10:53.000159;2023-06-30 17:10:53.000159;34;5;;Italy;D;Ceccherini;Verona
161;2023-06-30 17:10:53.000160;2023-06-30 17:10:53.000160;23;5;;Italy;D;Ferrari G.;Sassuolo
162;2023-06-30 17:10:53.000161;2023-06-30 17:10:53.000161;29;5;;Greece;D;Lykogiannis;Bologna
163;2023-06-30 17:10:53.000162;2023-06-30 17:10:53.000162;29;5;;England;D;Aina;Torino
164;2023-06-30 17:10:53.000163;2023-06-30 17:10:53.000163;31;5;;Italy;D;Ranieri L.;Fiorentina
165;2023-06-30 17:10:53.000164;2023-06-30 17:10:53.000164;19;5;;Germany;D;Toljan;Sassuolo
166;2023-06-30 17:10:53.000165;2023-06-30 17:10:53.000165;21;5;;Italy;D;Gallo;Lecce
167;2023-06-30 17:10:53.000166;2023-06-30 17:10:53.000166;38;5;;Italy;D;Bellanova;Inter
168;2023-06-30 17:10:53.000167;2023-06-30 17:10:53.000167;27;5;;France;D;Soumaoro;Bologna
169;2023-06-30 17:10:53.000168;2023-06-30 17:10:53.000168;20;5;;Albania;D;Ismajli;Empoli
170;2023-06-30 17:10:53.000169;2023-06-30 17:10:53.000169;27;5;;Senegal;D;Ballo-Toure';Milan
171;2023-06-30 17:10:53.000170;2023-06-30 17:10:53.000170;29;5;;Italy;D;Amione;Sampdoria
172;2023-06-30 17:10:53.000171;2023-06-30 17:10:53.000171;26;5;;Sweden;D;Holm;Spezia
